Uniprot	Exp012_Bae_Liver_Control	Exp017_Yu_S16_SMase	Exp018_Yu_S16_SMase	Exp019_Yu_S16_SMase	Exp025_Man_RNK-16_Control	Exp026_Man_RNK-16_Control	Exp027_Man_RNK-16_Control	Exp035_Jia_Synaptosome_MbCD	Exp046_Welker_Liver_Control	Exp075_Chintagari_Pneumocyte_Control	Exp080_Ponce_Embryonic_cortical_neuron_Simvastatin	Exp081_Williamson_Embryonic_cortical_neuron_Control	Exp082_Williamson_Embryonic_cortical_neuron_Control	Exp087_Suzuki_Post_synaptic_membrane_Control	Exp100_Hur_Brain_Control	Exp101_Hur_Brain_Control
Q5XIC2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q5XIF3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q5XIF6	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
Q5XIG4	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q5XIH3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Q5XIH7	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0
Q5XIM9	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
Q5XIN6	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q5XIP9	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q5XIU9	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q60587	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
Q62609	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0
Q62636	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
Q62638	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q62718	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0
Q62745	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1
Q62760	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q62765	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
Q62768	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
Q62813	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
Q62844	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q62845	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q62889	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q62902	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q62936	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
Q62950	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
Q62952	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q62991	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q63016	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0
Q63092	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
Q63198	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1
Q63345	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1
Q63362	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q63372	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q63374	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q63377	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1
Q63524	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q63537	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0
Q63560	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Q63584	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Q63622	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0
Q63707	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q63716	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
Q63965	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Q64119	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q641Y8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Q64428	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0
Q64548	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q64560	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q64654	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q66HA6	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q66HF1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
Q68FQ0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q68FY0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
Q6AXM8	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q6AXS4	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q6AXV4	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
Q6AY30	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Q6AY41	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q6AY55	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q6AYH5	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1
Q6AYQ1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q6IFV3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q6IFW6	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q6IMF3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q6JAM9	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q6MG82	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q6NYB7	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
Q6P502	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
Q6P6Q2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q6P6R2	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1
Q6P7R8	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q6P9T8	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
Q6P9V9	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q6PCU2	0	0	0	0	0	0	0	1	0	1	0	1	1	1	0	0
Q6PEC3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q6PEC4	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1
Q6QLM7	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q6RUV5	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
Q6UPR8	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q6VBQ5	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1
Q75Q39	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0
Q75Q40	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
Q765A7	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q78P75	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q792I0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q7TMB7	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q7TP47	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q7TPB1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1
Q7TPJ0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q80W89	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q80WD1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
Q80WF4	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q80Z70	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q8CFG5	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1
Q8CFG6	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1
Q8CFN2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1
Q8K3M6	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
Q8R4E1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q8VGC3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q8VHF5	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0
Q91XU8	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0
Q91XV6	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q91Y81	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Q920L2	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0
Q920Q0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
Q924P2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q99376	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q99ML5	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q99NA5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Q9EPF2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Q9EPH8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Q9ER34	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Q9ERB4	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1
Q9ERS3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Q9JHY2	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
Q9JHZ9	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Q9JI12	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Q9JID2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q9JIR4	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q9JJM9	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q9JJW3	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q9JK11	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q9JKS6	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
Q9JL55	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q9JLT0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
Q9JLU4	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q9QUH6	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0
Q9QUL6	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1
Q9QWN8	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	1
Q9QXY2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
Q9QYF3	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
Q9QYJ2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q9R066	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q9R1Z0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0
Q9WTR7	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q9WU34	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q9WU82	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
Q9WUD9	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q9WV48	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q9WVC0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q9Z0J8	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1
Q9Z122	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q9Z142	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q9Z173	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
Q9Z1E1	0	1	1	1	0	1	0	0	0	0	0	1	1	0	1	1
Q9Z1P2	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
Q9Z1X1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q9Z1Y3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q9Z214	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0
Q9Z269	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Q9Z270	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Q9Z2L0	0	1	1	1	0	0	0	1	0	0	1	1	1	1	0	0
Q9Z2S9	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1
Q9Z2Z8	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
