Uniprot	Exp020_Sleight_Sperm_Control	Exp028_Kim_Liver_Control	Exp029_Kim_Lung_Control	Exp030_Kim_Kidney_Control	Exp031_Kim_Brain_Control	Exp041_Ishmael_Brain_Control	Exp043_Yu_Neonatal_brain_Control	Exp058_Dhungana_RAW264.7_LPS	Exp059_Dhungana_RAW264.7_LPS	Exp060_Dhungana_RAW264.7_LPS	Exp061_Dhungana_RAW264.7_LPS	Exp062_Asano_Sperm_Control	Exp063_Ogawa_Optic_nerve_Control	Exp065_Kim_3T3-L1_Control	Exp066_Nixon_Sperm_Control	Exp070_Zhai_Spinal_cord_Control	Exp076_Kim_C2C12_Control	Exp085_Davalos_Lung_Control	Exp088_Zheng_MEF_Control	Exp089_Zheng_MEF_Control	Exp090_Zheng_MEF_Control	Exp091_Zheng_MEF_Control	Exp092_Zheng_MEF_MbCD	Exp093_Zheng_MEF_Control	Exp095_Poston_NG108-15_Control	Exp096_Goyette_J774_Control	Exp112_Boscher_MEF_Control	Exp113_Boscher_MEF_Control	Exp115_Uyy_Lung_Control
P09411	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0	1	1	1	0
P09528	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	1	0	0	0
P09671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
P10126	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	0
P10639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	1	0
P10833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0
P10852	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	0	0	1	1	1	0
P11438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	1	1	1	0
P11499	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1
P11983	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P12787	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	0
P12960	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
P13020	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
P14094	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
P14131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	1	0
P14148	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0	1	1	0
P14152	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
P14211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	1	0	0	0
P14824	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
P14873	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	1	0
P15379	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
P16330	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
P16858	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0
P17156	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
P17182	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	1	1	1	0
P17426	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
P17427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	1	0
P17742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	1	1	1	0
P17751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	1	0
P17809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	1	1	1	0
P18572	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
P18760	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0
P19096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0
P19783	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	1	1	1	0
P20029	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	1	1	1	1	0	0	1	1	1	0
P20152	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	0
P21279	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0	1	1	1	0
P23242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
P24369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	1	1	0
P25763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P26041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	0	0	1	1	1	0
P26443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0
P26645	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	1	0	0	0	1	1	0
P27573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
P27601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0	1	1	1	0
P27773	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1	1	1	1	0	0	1	1	1	0
P28652	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
P28663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
P28667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	1	0
P31786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0
P32037	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P35279	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
P35293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	1	1	0
P35486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
P35564	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	1	1	1	0
P35700	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
P35762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	1	1	0
P39053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
P39054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
P39688	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
P40124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0
P40142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0
P41216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
P42932	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0	1	1	0
P46096	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
P46097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
P46471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
P46638	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
P46660	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
P47753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
P47757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
P47857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
